barcode,well-id,moa,cbk-id,batch-id,cmpd-name,SMILES
P102785,A01,LXR agonist,CBK024768,DO8145313,T 0901317,O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1
P102785,A03,MAP kinase inhibitor|MEK inhibitor,CBK290225,DO8145315,PD 198306,Cc1cc(I)ccc1Nc1c(C(=O)NOCC2CC2)cc(F)c(F)c1F
P102785,A04,acetylcholine receptor antagonist,CBK289990,DO8145307,(S)-(+)-Dimethindene maleate,CC(C1=C(CCN(C)C)Cc2ccccc12)c1ccccn1
P102785,A04,acetylcholine receptor antagonist,CBK289990,DO8145307,(S)-(+)-Dimethindene maleate,C[C@H](C3=NC=CC=C3)C2=C(CCN(C)C)CC1=CC=CC=C12
P102785,A07,IGF-1 inhibitor,CBK290845,DO8145383,NVP-AEW541,Cc1ccccc1-n1c(Cn2ncc3c(N)ncnc23)nc2cccc(C)c2c1=O
P102785,A08,phospholipase inhibitor,CBK308283,DO8145333,ML 298 hydrochloride,O=C(NCCN2CCC(C(NCN3C4=CC(F)=CC=C4)=O)3CC2)C1=CC=C(F)C(F)=C1
P102785,A09,p38 MAPK inhibitor,CBK293873,DO8145376,Skepinone-L,C1CN(CCN1)c1ccc(cc1)-c1cnc2c(cnn2c1)-c1cccc2ncccc12
P102785,A10,DNA inhibitor|topoisomerase inhibitor,CBK278009,DO8145371,Valrubicin,CCCCC(OCC([C@]1(O)CC2=C(C(O)=C3C(C4=C(C(C3=C2O)=O)C=CC=C4OC)=O)[C@@H](O[C@H]5C[C@H](NC(C(F)(F)F)=O)[C@H](O)[C@H](C)O5)C1)=O)=O
P102785,A13,CDC inhibitor,CBK308753,DO8145368,KH-CB19,O=C(C(N1C)=C(/C(C#N)=C\N)C2=C1C(Cl)=C(Cl)C=C2)OCC
P102785,A17,JAK inhibitor,CBK293908,DO8145381,Filgotinib,O=C(C1CC1)NC2=NN3C(C4=CC=C(CN5CCS(CC5)(=O)=O)C=C4)=CC=CC3=N2
P102785,A18,leucine rich repeat kinase inhibitor|RAF inhibitor,CBK041247,DO8145306,GW 5074,OC(C(Br)=C1)=C(Br)C=C1/C=C(C2=CC(I)=CC=C2N3)\C3=O
P102785,A21,androgen receptor modulator,CBK308702,DO8145339,BMS 564929,N#CC1=CC=C(N(C(N2[C@@]3([H])[C@H](O)CC2)=O)C3=O)C(C)=C1Cl
P102785,A24,HDAC inhibitor,CBK303885,DO8145345,RGFP 966,Nc1cc(F)ccc1NC(=O)\C=C\c1cnn(C\C=C\c2ccccc2)c1
P102785,B02,glycogen synthase kinase inhibitor,CBK288309,DO8145325,CHIR 99021,Cc1c[nH]c(n1)-c1cnc(NCCNc2ccc(cn2)C#N)nc1-c1ccc(Cl)cc1Cl
