SAMPLE_KEY,PLATE_ID,WELL_POSITION,SITE,CPD_NAME,CPD_NAME_TYPE,SMILES,INCHIKEY,IMG_ERSyto,IMG_ERSytoBleed,IMG_Hoechst,IMG_Mito,IMG_Ph_golgi
P102785-A02-1,P102785,A02,1,[dmso],Dimethyl Sulfoxide,CS(C)=O,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,P102785_A02_s1_x0_y0_Fluorescence_488_nm_Ex.tiff,P102785_A02_s1_x0_y0_Fluorescence_730_nm_Ex.tiff,P102785_A02_s1_x0_y0_Fluorescence_405_nm_Ex.tiff,P102785_A02_s1_x0_y0_Fluorescence_638_nm_Ex.tiff,P102785_A02_s1_x0_y0_Fluorescence_561_nm_Ex.tiff
P102785-A02-2,P102785,A02,2,[dmso],Dimethyl Sulfoxide,CS(C)=O,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,P102785_A02_s2_x1_y0_Fluorescence_488_nm_Ex.tiff,P102785_A02_s2_x1_y0_Fluorescence_730_nm_Ex.tiff,P102785_A02_s2_x1_y0_Fluorescence_405_nm_Ex.tiff,P102785_A02_s2_x1_y0_Fluorescence_638_nm_Ex.tiff,P102785_A02_s2_x1_y0_Fluorescence_561_nm_Ex.tiff
P102785-A02-3,P102785,A02,3,[dmso],Dimethyl Sulfoxide,CS(C)=O,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,P102785_A02_s3_x2_y0_Fluorescence_488_nm_Ex.tiff,P102785_A02_s3_x2_y0_Fluorescence_730_nm_Ex.tiff,P102785_A02_s3_x2_y0_Fluorescence_405_nm_Ex.tiff,P102785_A02_s3_x2_y0_Fluorescence_638_nm_Ex.tiff,P102785_A02_s3_x2_y0_Fluorescence_561_nm_Ex.tiff
P102785-A02-4,P102785,A02,4,[dmso],Dimethyl Sulfoxide,CS(C)=O,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,P102785_A02_s4_x0_y1_Fluorescence_488_nm_Ex.tiff,P102785_A02_s4_x0_y1_Fluorescence_730_nm_Ex.tiff,P102785_A02_s4_x0_y1_Fluorescence_405_nm_Ex.tiff,P102785_A02_s4_x0_y1_Fluorescence_638_nm_Ex.tiff,P102785_A02_s4_x0_y1_Fluorescence_561_nm_Ex.tiff
P102785-A02-5,P102785,A02,5,[dmso],Dimethyl Sulfoxide,CS(C)=O,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,P102785_A02_s5_x1_y1_Fluorescence_488_nm_Ex.tiff,P102785_A02_s5_x1_y1_Fluorescence_730_nm_Ex.tiff,P102785_A02_s5_x1_y1_Fluorescence_405_nm_Ex.tiff,P102785_A02_s5_x1_y1_Fluorescence_638_nm_Ex.tiff,P102785_A02_s5_x1_y1_Fluorescence_561_nm_Ex.tiff
P102785-A02-6,P102785,A02,6,[dmso],Dimethyl Sulfoxide,CS(C)=O,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,P102785_A02_s6_x2_y1_Fluorescence_488_nm_Ex.tiff,P102785_A02_s6_x2_y1_Fluorescence_730_nm_Ex.tiff,P102785_A02_s6_x2_y1_Fluorescence_405_nm_Ex.tiff,P102785_A02_s6_x2_y1_Fluorescence_638_nm_Ex.tiff,P102785_A02_s6_x2_y1_Fluorescence_561_nm_Ex.tiff
P102785-A02-7,P102785,A02,7,[dmso],Dimethyl Sulfoxide,CS(C)=O,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,P102785_A02_s7_x0_y2_Fluorescence_488_nm_Ex.tiff,P102785_A02_s7_x0_y2_Fluorescence_730_nm_Ex.tiff,P102785_A02_s7_x0_y2_Fluorescence_405_nm_Ex.tiff,P102785_A02_s7_x0_y2_Fluorescence_638_nm_Ex.tiff,P102785_A02_s7_x0_y2_Fluorescence_561_nm_Ex.tiff
P102785-A02-8,P102785,A02,8,[dmso],Dimethyl Sulfoxide,CS(C)=O,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,P102785_A02_s8_x1_y2_Fluorescence_488_nm_Ex.tiff,P102785_A02_s8_x1_y2_Fluorescence_730_nm_Ex.tiff,P102785_A02_s8_x1_y2_Fluorescence_405_nm_Ex.tiff,P102785_A02_s8_x1_y2_Fluorescence_638_nm_Ex.tiff,P102785_A02_s8_x1_y2_Fluorescence_561_nm_Ex.tiff
P102785-A02-9,P102785,A02,9,[dmso],Dimethyl Sulfoxide,CS(C)=O,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,P102785_A02_s9_x2_y2_Fluorescence_488_nm_Ex.tiff,P102785_A02_s9_x2_y2_Fluorescence_730_nm_Ex.tiff,P102785_A02_s9_x2_y2_Fluorescence_405_nm_Ex.tiff,P102785_A02_s9_x2_y2_Fluorescence_638_nm_Ex.tiff,P102785_A02_s9_x2_y2_Fluorescence_561_nm_Ex.tiff
P102785-A03-1,P102785,A03,1,CBK290225,PD 198306,Cc1cc(I)ccc1Nc1c(C(=O)NOCC2CC2)cc(F)c(F)c1F,UHAXDAKQGVISBZ-UHFFFAOYSA-N,A03_s1_x0_y0_Fluorescence_488_nm_Ex.tiff,A03_s1_x0_y0_Fluorescence_730_nm_Ex.tiff,A03_s1_x0_y0_Fluorescence_405_nm_Ex.tiff,A03_s1_x0_y0_Fluorescence_638_nm_Ex.tiff,A03_s1_x0_y0_Fluorescence_561_nm_Ex.tiff
