SAMPLE_KEY,PLATE_ID,WELL_POSITION,SITE,IMG_Hoechst,IMG_ERSyto,IMG_Ph_golgi,IMG_Mito,IMG_ERSytoBleed
P102785-A03-1,P102785,A03,1,A03_s1_x0_y0_Fluorescence_405_nm_Ex.tiff,A03_s1_x0_y0_Fluorescence_488_nm_Ex.tiff,A03_s1_x0_y0_Fluorescence_561_nm_Ex.tiff,A03_s1_x0_y0_Fluorescence_638_nm_Ex.tiff,A03_s1_x0_y0_Fluorescence_730_nm_Ex.tiff
P102785-A03-2,P102785,A03,2,A03_s2_x1_y0_Fluorescence_405_nm_Ex.tiff,A03_s2_x1_y0_Fluorescence_488_nm_Ex.tiff,A03_s2_x1_y0_Fluorescence_561_nm_Ex.tiff,A03_s2_x1_y0_Fluorescence_638_nm_Ex.tiff,A03_s2_x1_y0_Fluorescence_730_nm_Ex.tiff
P102785-A03-3,P102785,A03,3,A03_s3_x2_y0_Fluorescence_405_nm_Ex.tiff,A03_s3_x2_y0_Fluorescence_488_nm_Ex.tiff,A03_s3_x2_y0_Fluorescence_561_nm_Ex.tiff,A03_s3_x2_y0_Fluorescence_638_nm_Ex.tiff,A03_s3_x2_y0_Fluorescence_730_nm_Ex.tiff
P102785-A03-4,P102785,A03,4,A03_s4_x0_y1_Fluorescence_405_nm_Ex.tiff,A03_s4_x0_y1_Fluorescence_488_nm_Ex.tiff,A03_s4_x0_y1_Fluorescence_561_nm_Ex.tiff,A03_s4_x0_y1_Fluorescence_638_nm_Ex.tiff,A03_s4_x0_y1_Fluorescence_730_nm_Ex.tiff
P102785-A03-5,P102785,A03,5,A03_s5_x1_y1_Fluorescence_405_nm_Ex.tiff,A03_s5_x1_y1_Fluorescence_488_nm_Ex.tiff,A03_s5_x1_y1_Fluorescence_561_nm_Ex.tiff,A03_s5_x1_y1_Fluorescence_638_nm_Ex.tiff,A03_s5_x1_y1_Fluorescence_730_nm_Ex.tiff
P102785-A03-6,P102785,A03,6,A03_s6_x2_y1_Fluorescence_405_nm_Ex.tiff,A03_s6_x2_y1_Fluorescence_488_nm_Ex.tiff,A03_s6_x2_y1_Fluorescence_561_nm_Ex.tiff,A03_s6_x2_y1_Fluorescence_638_nm_Ex.tiff,A03_s6_x2_y1_Fluorescence_730_nm_Ex.tiff
P102785-A03-7,P102785,A03,7,A03_s7_x0_y2_Fluorescence_405_nm_Ex.tiff,A03_s7_x0_y2_Fluorescence_488_nm_Ex.tiff,A03_s7_x0_y2_Fluorescence_561_nm_Ex.tiff,A03_s7_x0_y2_Fluorescence_638_nm_Ex.tiff,A03_s7_x0_y2_Fluorescence_730_nm_Ex.tiff
P102785-A03-8,P102785,A03,8,A03_s8_x1_y2_Fluorescence_405_nm_Ex.tiff,A03_s8_x1_y2_Fluorescence_488_nm_Ex.tiff,A03_s8_x1_y2_Fluorescence_561_nm_Ex.tiff,A03_s8_x1_y2_Fluorescence_638_nm_Ex.tiff,A03_s8_x1_y2_Fluorescence_730_nm_Ex.tiff
P102785-A03-9,P102785,A03,9,A03_s9_x2_y2_Fluorescence_405_nm_Ex.tiff,A03_s9_x2_y2_Fluorescence_488_nm_Ex.tiff,A03_s9_x2_y2_Fluorescence_561_nm_Ex.tiff,A03_s9_x2_y2_Fluorescence_638_nm_Ex.tiff,A03_s9_x2_y2_Fluorescence_730_nm_Ex.tiff
P102785-A04-1,P102785,A04,1,A04_s1_x0_y0_Fluorescence_405_nm_Ex.tiff,A04_s1_x0_y0_Fluorescence_488_nm_Ex.tiff,A04_s1_x0_y0_Fluorescence_561_nm_Ex.tiff,A04_s1_x0_y0_Fluorescence_638_nm_Ex.tiff,A04_s1_x0_y0_Fluorescence_730_nm_Ex.tiff
P102785-A04-2,P102785,A04,2,A04_s2_x1_y0_Fluorescence_405_nm_Ex.tiff,A04_s2_x1_y0_Fluorescence_488_nm_Ex.tiff,A04_s2_x1_y0_Fluorescence_561_nm_Ex.tiff,A04_s2_x1_y0_Fluorescence_638_nm_Ex.tiff,A04_s2_x1_y0_Fluorescence_730_nm_Ex.tiff
P102785-A04-3,P102785,A04,3,A04_s3_x2_y0_Fluorescence_405_nm_Ex.tiff,A04_s3_x2_y0_Fluorescence_488_nm_Ex.tiff,A04_s3_x2_y0_Fluorescence_561_nm_Ex.tiff,A04_s3_x2_y0_Fluorescence_638_nm_Ex.tiff,A04_s3_x2_y0_Fluorescence_730_nm_Ex.tiff
P102785-A04-4,P102785,A04,4,A04_s4_x0_y1_Fluorescence_405_nm_Ex.tiff,A04_s4_x0_y1_Fluorescence_488_nm_Ex.tiff,A04_s4_x0_y1_Fluorescence_561_nm_Ex.tiff,A04_s4_x0_y1_Fluorescence_638_nm_Ex.tiff,A04_s4_x0_y1_Fluorescence_730_nm_Ex.tiff
P102785-A04-5,P102785,A04,5,A04_s5_x1_y1_Fluorescence_405_nm_Ex.tiff,A04_s5_x1_y1_Fluorescence_488_nm_Ex.tiff,A04_s5_x1_y1_Fluorescence_561_nm_Ex.tiff,A04_s5_x1_y1_Fluorescence_638_nm_Ex.tiff,A04_s5_x1_y1_Fluorescence_730_nm_Ex.tiff
P102785-A04-6,P102785,A04,6,A04_s6_x2_y1_Fluorescence_405_nm_Ex.tiff,A04_s6_x2_y1_Fluorescence_488_nm_Ex.tiff,A04_s6_x2_y1_Fluorescence_561_nm_Ex.tiff,A04_s6_x2_y1_Fluorescence_638_nm_Ex.tiff,A04_s6_x2_y1_Fluorescence_730_nm_Ex.tiff
P102785-A04-7,P102785,A04,7,A04_s7_x0_y2_Fluorescence_405_nm_Ex.tiff,A04_s7_x0_y2_Fluorescence_488_nm_Ex.tiff,A04_s7_x0_y2_Fluorescence_561_nm_Ex.tiff,A04_s7_x0_y2_Fluorescence_638_nm_Ex.tiff,A04_s7_x0_y2_Fluorescence_730_nm_Ex.tiff
P102785-A04-8,P102785,A04,8,A04_s8_x1_y2_Fluorescence_405_nm_Ex.tiff,A04_s8_x1_y2_Fluorescence_488_nm_Ex.tiff,A04_s8_x1_y2_Fluorescence_561_nm_Ex.tiff,A04_s8_x1_y2_Fluorescence_638_nm_Ex.tiff,A04_s8_x1_y2_Fluorescence_730_nm_Ex.tiff
P102785-A04-9,P102785,A04,9,A04_s9_x2_y2_Fluorescence_405_nm_Ex.tiff,A04_s9_x2_y2_Fluorescence_488_nm_Ex.tiff,A04_s9_x2_y2_Fluorescence_561_nm_Ex.tiff,A04_s9_x2_y2_Fluorescence_638_nm_Ex.tiff,A04_s9_x2_y2_Fluorescence_730_nm_Ex.tiff
P102785-A07-1,P102785,A07,1,A07_s1_x0_y0_Fluorescence_405_nm_Ex.tiff,A07_s1_x0_y0_Fluorescence_488_nm_Ex.tiff,A07_s1_x0_y0_Fluorescence_561_nm_Ex.tiff,A07_s1_x0_y0_Fluorescence_638_nm_Ex.tiff,A07_s1_x0_y0_Fluorescence_730_nm_Ex.tiff
P102785-A07-2,P102785,A07,2,A07_s2_x1_y0_Fluorescence_405_nm_Ex.tiff,A07_s2_x1_y0_Fluorescence_488_nm_Ex.tiff,A07_s2_x1_y0_Fluorescence_561_nm_Ex.tiff,A07_s2_x1_y0_Fluorescence_638_nm_Ex.tiff,A07_s2_x1_y0_Fluorescence_730_nm_Ex.tiff
P102785-A07-3,P102785,A07,3,A07_s3_x2_y0_Fluorescence_405_nm_Ex.tiff,A07_s3_x2_y0_Fluorescence_488_nm_Ex.tiff,A07_s3_x2_y0_Fluorescence_561_nm_Ex.tiff,A07_s3_x2_y0_Fluorescence_638_nm_Ex.tiff,A07_s3_x2_y0_Fluorescence_730_nm_Ex.tiff
P102785-A07-4,P102785,A07,4,A07_s4_x0_y1_Fluorescence_405_nm_Ex.tiff,A07_s4_x0_y1_Fluorescence_488_nm_Ex.tiff,A07_s4_x0_y1_Fluorescence_561_nm_Ex.tiff,A07_s4_x0_y1_Fluorescence_638_nm_Ex.tiff,A07_s4_x0_y1_Fluorescence_730_nm_Ex.tiff
P102785-A07-5,P102785,A07,5,A07_s5_x1_y1_Fluorescence_405_nm_Ex.tiff,A07_s5_x1_y1_Fluorescence_488_nm_Ex.tiff,A07_s5_x1_y1_Fluorescence_561_nm_Ex.tiff,A07_s5_x1_y1_Fluorescence_638_nm_Ex.tiff,A07_s5_x1_y1_Fluorescence_730_nm_Ex.tiff
P102785-A07-6,P102785,A07,6,A07_s6_x2_y1_Fluorescence_405_nm_Ex.tiff,A07_s6_x2_y1_Fluorescence_488_nm_Ex.tiff,A07_s6_x2_y1_Fluorescence_561_nm_Ex.tiff,A07_s6_x2_y1_Fluorescence_638_nm_Ex.tiff,A07_s6_x2_y1_Fluorescence_730_nm_Ex.tiff
P102785-A07-7,P102785,A07,7,A07_s7_x0_y2_Fluorescence_405_nm_Ex.tiff,A07_s7_x0_y2_Fluorescence_488_nm_Ex.tiff,A07_s7_x0_y2_Fluorescence_561_nm_Ex.tiff,A07_s7_x0_y2_Fluorescence_638_nm_Ex.tiff,A07_s7_x0_y2_Fluorescence_730_nm_Ex.tiff
P102785-A07-8,P102785,A07,8,A07_s8_x1_y2_Fluorescence_405_nm_Ex.tiff,A07_s8_x1_y2_Fluorescence_488_nm_Ex.tiff,A07_s8_x1_y2_Fluorescence_561_nm_Ex.tiff,A07_s8_x1_y2_Fluorescence_638_nm_Ex.tiff,A07_s8_x1_y2_Fluorescence_730_nm_Ex.tiff
P102785-A07-9,P102785,A07,9,A07_s9_x2_y2_Fluorescence_405_nm_Ex.tiff,A07_s9_x2_y2_Fluorescence_488_nm_Ex.tiff,A07_s9_x2_y2_Fluorescence_561_nm_Ex.tiff,A07_s9_x2_y2_Fluorescence_638_nm_Ex.tiff,A07_s9_x2_y2_Fluorescence_730_nm_Ex.tiff
P102785-A08-1,P102785,A08,1,A08_s1_x0_y0_Fluorescence_405_nm_Ex.tiff,A08_s1_x0_y0_Fluorescence_488_nm_Ex.tiff,A08_s1_x0_y0_Fluorescence_561_nm_Ex.tiff,A08_s1_x0_y0_Fluorescence_638_nm_Ex.tiff,A08_s1_x0_y0_Fluorescence_730_nm_Ex.tiff
P102785-A08-2,P102785,A08,2,A08_s2_x1_y0_Fluorescence_405_nm_Ex.tiff,A08_s2_x1_y0_Fluorescence_488_nm_Ex.tiff,A08_s2_x1_y0_Fluorescence_561_nm_Ex.tiff,A08_s2_x1_y0_Fluorescence_638_nm_Ex.tiff,A08_s2_x1_y0_Fluorescence_730_nm_Ex.tiff
P102785-A08-3,P102785,A08,3,A08_s3_x2_y0_Fluorescence_405_nm_Ex.tiff,A08_s3_x2_y0_Fluorescence_488_nm_Ex.tiff,A08_s3_x2_y0_Fluorescence_561_nm_Ex.tiff,A08_s3_x2_y0_Fluorescence_638_nm_Ex.tiff,A08_s3_x2_y0_Fluorescence_730_nm_Ex.tiff
P102785-A08-4,P102785,A08,4,A08_s4_x0_y1_Fluorescence_405_nm_Ex.tiff,A08_s4_x0_y1_Fluorescence_488_nm_Ex.tiff,A08_s4_x0_y1_Fluorescence_561_nm_Ex.tiff,A08_s4_x0_y1_Fluorescence_638_nm_Ex.tiff,A08_s4_x0_y1_Fluorescence_730_nm_Ex.tiff
P102785-A08-5,P102785,A08,5,A08_s5_x1_y1_Fluorescence_405_nm_Ex.tiff,A08_s5_x1_y1_Fluorescence_488_nm_Ex.tiff,A08_s5_x1_y1_Fluorescence_561_nm_Ex.tiff,A08_s5_x1_y1_Fluorescence_638_nm_Ex.tiff,A08_s5_x1_y1_Fluorescence_730_nm_Ex.tiff
P102785-A08-6,P102785,A08,6,A08_s6_x2_y1_Fluorescence_405_nm_Ex.tiff,A08_s6_x2_y1_Fluorescence_488_nm_Ex.tiff,A08_s6_x2_y1_Fluorescence_561_nm_Ex.tiff,A08_s6_x2_y1_Fluorescence_638_nm_Ex.tiff,A08_s6_x2_y1_Fluorescence_730_nm_Ex.tiff
P102785-A08-7,P102785,A08,7,A08_s7_x0_y2_Fluorescence_405_nm_Ex.tiff,A08_s7_x0_y2_Fluorescence_488_nm_Ex.tiff,A08_s7_x0_y2_Fluorescence_561_nm_Ex.tiff,A08_s7_x0_y2_Fluorescence_638_nm_Ex.tiff,A08_s7_x0_y2_Fluorescence_730_nm_Ex.tiff
P102785-A08-8,P102785,A08,8,A08_s8_x1_y2_Fluorescence_405_nm_Ex.tiff,A08_s8_x1_y2_Fluorescence_488_nm_Ex.tiff,A08_s8_x1_y2_Fluorescence_561_nm_Ex.tiff,A08_s8_x1_y2_Fluorescence_638_nm_Ex.tiff,A08_s8_x1_y2_Fluorescence_730_nm_Ex.tiff
P102785-A08-9,P102785,A08,9,A08_s9_x2_y2_Fluorescence_405_nm_Ex.tiff,A08_s9_x2_y2_Fluorescence_488_nm_Ex.tiff,A08_s9_x2_y2_Fluorescence_561_nm_Ex.tiff,A08_s9_x2_y2_Fluorescence_638_nm_Ex.tiff,A08_s9_x2_y2_Fluorescence_730_nm_Ex.tiff
P102785-A09-1,P102785,A09,1,A09_s1_x0_y0_Fluorescence_405_nm_Ex.tiff,A09_s1_x0_y0_Fluorescence_488_nm_Ex.tiff,A09_s1_x0_y0_Fluorescence_561_nm_Ex.tiff,A09_s1_x0_y0_Fluorescence_638_nm_Ex.tiff,A09_s1_x0_y0_Fluorescence_730_nm_Ex.tiff
P102785-A09-2,P102785,A09,2,A09_s2_x1_y0_Fluorescence_405_nm_Ex.tiff,A09_s2_x1_y0_Fluorescence_488_nm_Ex.tiff,A09_s2_x1_y0_Fluorescence_561_nm_Ex.tiff,A09_s2_x1_y0_Fluorescence_638_nm_Ex.tiff,A09_s2_x1_y0_Fluorescence_730_nm_Ex.tiff
P102785-A09-3,P102785,A09,3,A09_s3_x2_y0_Fluorescence_405_nm_Ex.tiff,A09_s3_x2_y0_Fluorescence_488_nm_Ex.tiff,A09_s3_x2_y0_Fluorescence_561_nm_Ex.tiff,A09_s3_x2_y0_Fluorescence_638_nm_Ex.tiff,A09_s3_x2_y0_Fluorescence_730_nm_Ex.tiff
